name,link,code,animal_proportion,animal_decile
"Rasvaseoslevite 75%, oivariini, vähemmän suolaa, vl","Rasvaseoslevite 75%, oivariini, vähemmän suolaa, vl",32665,0.71,0.7
"Rasvaseos 60%, oivariini, vähärasvaisempi, vl","Rasvaseos 60%, oivariini, vähärasvaisempi, vl",32669,0.71,0.7
"Rasvaseoslevite 43%, ingmariini, vl","Rasvaseoslevite 43%, ingmariini, vl",32671,0.60,0.6
"Rasvaseoslevite 75%, ingmariini, normaalisuolainen, vl","Rasvaseoslevite 75%, ingmariini, normaalisuolainen, vl",32673,0.68,0.7
"Rasvaseos 60%, ingmariini, vähärasvaisempi, vl","Rasvaseos 60%, ingmariini, vähärasvaisempi, vl",32676,0.58,0.6
"Jäätelö, pehmytjäätelö, pehmis, soft ice, ei vohvelia","Jäätelö, pehmytjäätelö, pehmis, soft ice, ei vohvelia",32701,1.00,1.0
"Jäätelö, soijajäätelö, tofuline, vanilja","Jäätelö, soijajäätelö, tofuline, vanilja",32702,0.00,0.0
"Jauheliha, naudanpaisti, rasvaa 9 %","Jauheliha, naudanpaisti, rasvaa 9 %",32704,1.00,1.0
"Ruoanvalmistuskerma, kasvirasvakerma, rasvaa 4 %, vl","Ruoanvalmistuskerma, kasvirasvakerma, rasvaa 4 %, vl",32710,0.00,0.0
Mikropopcorn,Mikropopcorn,32713,0.00,0.0
"Keksi, teollinen, keskiarvo","Keksi, teollinen, keskiarvo",32715,0.00,0.0
"Raakamakkara, chorizo, kotitekoinen","Raakamakkara, chorizo, kotitekoinen",32724,1.00,1.0
"Paahtoleipä, 100 % täysjyväpaahto, vaasan","Paahtoleipä, 100 % täysjyväpaahto, vaasan",32730,0.00,0.0
"Nuudeli, täysjyvävehnä","Nuudeli, täysjyvävehnä",32731,0.00,0.0
Kinder yllätysmuna,Kinder yllätysmuna,32733,0.25,0.3
"Soijajuoma, soijamaito, alpro kalsiumsoijajuoma, kalsiumia ja vitamiineja","Soijajuoma, soijamaito, alpro kalsiumsoijajuoma, kalsiumia ja vitamiineja",32734,0.00,0.0
"Kaurajuoma, rainbow, lisätty kalsiumia ja vitamiineja","Kaurajuoma, rainbow, lisätty kalsiumia ja vitamiineja",32783,0.00,0.0
"Vohveli, vesi","Vohveli, vesi",32838,0.00,0.0
"Juusto, vuohenjuusto, chčvre, rasvaa 30%, vuohenmaito","Juusto, vuohenjuusto, chčvre, rasvaa 30%, vuohenmaito",32925,1.00,1.0
"Näkkileipä, täysjyväruis, pieni pyöreä/maukas, vaasan, keskiarvo, kuitua 18%","Näkkileipä, täysjyväruis, pieni pyöreä/maukas, vaasan, keskiarvo, kuitua 18%",32947,0.00,0.0
"Ruisleipä, ruispalat, leipäaitta, lidl, täysjyväruis-vehnäjauho","Ruisleipä, ruispalat, leipäaitta, lidl, täysjyväruis-vehnäjauho",32962,0.00,0.0
"Vaalea leipä, hot dog sämpylä, kohberg, lidl","Vaalea leipä, hot dog sämpylä, kohberg, lidl",32980,0.00,0.0
"Näkkileipä, kauranäkkileipä, wasa, kaura- vehnäjauho, kaurahiutale","Näkkileipä, kauranäkkileipä, wasa, kaura- vehnäjauho, kaurahiutale",32984,0.00,0.0
"Keksi, täytekeksi, suklainen, catago chocobit, lidl","Keksi, täytekeksi, suklainen, catago chocobit, lidl",32999,0.10,0.1
"Maustekastike, sweet chili sauce, makea chilikastike","Maustekastike, sweet chili sauce, makea chilikastike",33020,0.00,0.0
"Maustetahna, currytahna, mieto / tikka","Maustetahna, currytahna, mieto / tikka",33021,0.00,0.0
"Maustetahna, inkivääritahna","Maustetahna, inkivääritahna",33022,0.00,0.0
"Inkivääri, juurakko, raaka","Inkivääri, juurakko, raaka",33023,0.00,0.0
"Erikoishedelmä, eksoottinen, keskiarvo, mango/papaija, kuivattu","Erikoishedelmä, eksoottinen, keskiarvo, mango/papaija, kuivattu",33067,0.00,0.0
"Ananas, kuivattu","Ananas, kuivattu",33077,0.00,0.0
"Pähkinä, pekaanipähkinä","Pähkinä, pekaanipähkinä",33095,0.00,0.0
"Mehu, mehujuoma, mehukatti pillijuoma, täydennetty","Mehu, mehujuoma, mehukatti pillijuoma, täydennetty",33113,0.00,0.0
Suolatikku,Suolatikku,33114,0.00,0.0
"Hampunsiemen, kokonainen","Hampunsiemen, kokonainen",33121,0.00,0.0
"Soijajuoma, soijamaito, alpro maustamaton, kalsiumia ja vitamiineja","Soijajuoma, soijamaito, alpro maustamaton, kalsiumia ja vitamiineja",33122,0.00,0.0
"Soijajuoma, soijamaito, rainbow, kalsiumia ja vitamiineja","Soijajuoma, soijamaito, rainbow, kalsiumia ja vitamiineja",33124,0.00,0.0
"Jogurtti, lohkeava luonnonjogurtti, rasvaa 5,5 %, laktoositon","Jogurtti, lohkeava luonnonjogurtti, rasvaa 5,5 %, laktoositon",33129,1.00,1.0
"Soijajuoma, soijamaito, soywell soya drink, lidl, kalsiumia ja vitamiineja","Soijajuoma, soijamaito, soywell soya drink, lidl, kalsiumia ja vitamiineja",33139,0.00,0.0
"Muro, vehnähiutale, kellogg's all-bran regular, vitaminoitu","Muro, vehnähiutale, kellogg's all-bran regular, vitaminoitu",33145,0.00,0.0
"Jogurtti, lohkeava, maustettu, rasvaa 4,6 %, laktoositon","Jogurtti, lohkeava, maustettu, rasvaa 4,6 %, laktoositon",33150,1.00,1.0
"Merisuola, jodioimaton","Merisuola, jodioimaton",33151,0.00,0.0
"Täysmaito, rasvaa 3,5 %, vl, ei lisätty d-vitamiinia","Täysmaito, rasvaa 3,5 %, vl, ei lisätty d-vitamiinia",33164,1.00,1.0
"Jauheliha, kevyt, sika-nauta, vähärasvainen, rasvaa 10 %","Jauheliha, kevyt, sika-nauta, vähärasvainen, rasvaa 10 %",33174,1.00,1.0
"Rahka, maitorahka, maustamaton, rasvaa 0,3 %, laktoositon","Rahka, maitorahka, maustamaton, rasvaa 0,3 %, laktoositon",33179,1.00,1.0
"Kaali, keitetty, suolaton","Kaali, keitetty, suolaton",33204,0.00,0.0
"Jogurtti, maustettu, rasvaa 2 %, laktoositon, d-vit 1 ug","Jogurtti, maustettu, rasvaa 2 %, laktoositon, d-vit 1 ug",33280,1.00,1.0
"Jogurtti, maustettu, rasvaa 2 %","Jogurtti, maustettu, rasvaa 2 %",33410,1.00,1.0
"Makeinen, vohvelia ja suklaata, suffeli, fazer","Makeinen, vohvelia ja suklaata, suffeli, fazer",33432,0.20,0.2
"Makeinen, vaahtokarkki, vaahtokaramelli","Makeinen, vaahtokarkki, vaahtokaramelli",33447,0.00,0.0
"Jogurtti, soijajogurtti, maustamaton, rasvaa 2,3 %","Jogurtti, soijajogurtti, maustamaton, rasvaa 2,3 %",33452,0.00,0.0
"Nakki, soijanakki","Nakki, soijanakki",33502,0.00,0.0
"Kananmunajauhe, elintarviketeollisuuden raaka-aine","Kananmunajauhe, elintarviketeollisuuden raaka-aine",33549,1.00,1.0
Pähkinä-hedelmä-sekoitus,Pähkinä-hedelmä-sekoitus,33568,0.00,0.0
"Pähkinäsekoitus, suolaton","Pähkinäsekoitus, suolaton",33569,0.00,0.0
"Välipalajuoma, hevi shot, valio, tuotekeskiarvo","Välipalajuoma, hevi shot, valio, tuotekeskiarvo",33595,0.00,0.0
"Soijajuoma, soijamaito, maustamaton, tuotekeskiarvo","Soijajuoma, soijamaito, maustamaton, tuotekeskiarvo",33597,0.00,0.0
"Lihapulla, teollinen, tuotekeskiarvo","Lihapulla, teollinen, tuotekeskiarvo",33612,1.00,1.0
"Sekaleipä, oululainen vaalea reissumies, 100% täysjyvä, fazer","Sekaleipä, oululainen vaalea reissumies, 100% täysjyvä, fazer",33673,0.00,0.0
"Sekaleipä, oululainen pikkurieska, perunarieska, fazer","Sekaleipä, oululainen pikkurieska, perunarieska, fazer",33674,0.00,0.0
"Piimä, kevytpiimä, 1% rasvaa, vl, d-vit 1ug","Piimä, kevytpiimä, 1% rasvaa, vl, d-vit 1ug",33675,1.00,1.0
"Piimä, kevytpiimä, 2% rasvaa","Piimä, kevytpiimä, 2% rasvaa",33683,1.00,1.0
"Paahtoleipä, paahto viisi viljaa, fazer","Paahtoleipä, paahto viisi viljaa, fazer",33694,0.00,0.0
"Jogurtti, maustamaton, ab, rasvaa 2,5 %, probiootteja","Jogurtti, maustamaton, ab, rasvaa 2,5 %, probiootteja",33697,1.00,1.0
"Jogurtti, maustamaton, ab, rasvaton, probiootteja","Jogurtti, maustamaton, ab, rasvaton, probiootteja",33698,1.00,1.0
"Jogurtti, juotava, pirkka l. casei jogurttijuoma, rasvaa 0,9%, probiootteja","Jogurtti, juotava, pirkka l. casei jogurttijuoma, rasvaa 0,9%, probiootteja",33703,1.00,1.0
"Jogurtti, maustettu, ihana mustikka-valkosuklaa, rasvaa 2,7 %, vl, d-vit 0,5 ug","Jogurtti, maustettu, ihana mustikka-valkosuklaa, rasvaa 2,7 %, vl, d-vit 0,5 ug",33705,1.00,1.0
"Muro, kaakaonmakuinen vehnämuro, kellogg's coco pops crunchers","Muro, kaakaonmakuinen vehnämuro, kellogg's coco pops crunchers",33724,0.00,0.0
"Kasvirasvalevite 70%, teollinen tuotekeskiarvo","Kasvirasvalevite 70%, teollinen tuotekeskiarvo",33726,0.00,0.0
"Sekaleipä, kauraleipä, 100 % kaura, vaasan","Sekaleipä, kauraleipä, 100 % kaura, vaasan",33756,0.00,0.0
"Sekaleipä, kauratyynyt, halkaistu, vaasan","Sekaleipä, kauratyynyt, halkaistu, vaasan",33783,0.00,0.0
"Meetvursti tai salami, kevyt rasvaa, 22 %","Meetvursti tai salami, kevyt rasvaa, 22 %",33845,1.00,1.0
"Piimä, rasvaton, valio eila laktoositon, d-vit 2 ug","Piimä, rasvaton, valio eila laktoositon, d-vit 2 ug",33852,1.00,1.0
"Margariini, flora kulta, 80 %","Margariini, flora kulta, 80 %",33882,0.05,0.1
"Keksi, täytekeksi vaalea, ballerina","Keksi, täytekeksi vaalea, ballerina",33888,0.00,0.0
"Marjasose, 100 % marjoja, makeuttamaton","Marjasose, 100 % marjoja, makeuttamaton",33897,0.00,0.0
Maizena pikasuuruste,Maizena pikasuuruste,33899,0.00,0.0
"Kaurajuoma, oatly, lisätty kalsiumia ja vitamiineja, alkaen 09/12","Kaurajuoma, oatly, lisätty kalsiumia ja vitamiineja, alkaen 09/12",33901,0.00,0.0
"Quorn, fileet, kuutiot, rouhe","Quorn, fileet, kuutiot, rouhe",33925,0.00,0.0
"Kokolihaleikkele, kalkkunaleikkele, rasvaa 2 %","Kokolihaleikkele, kalkkunaleikkele, rasvaa 2 %",33927,1.00,1.0
"Merilevä, nori, kuivattu","Merilevä, nori, kuivattu",34136,0.00,0.0
"Merilevä, wakame, kuivattu","Merilevä, wakame, kuivattu",34137,0.00,0.0
Kookosöljy,Kookosöljy,34140,0.00,0.0
"Marja-/hedelmäjogurtti rasvaa 2 %, vähälaktoosinen, 1 ug D-vitamiinia","Marja-/hedelmäjogurtti rasvaa 2 %, vähälaktoosinen, 1 ug D-vitamiinia",B30,1.00,1.0
"KevytLevi 40 %, lisätty D-vit","KevytLevi 40 %, lisätty D-vit",B75,0.80,0.8
"Oivariinii normaalisuolainen 75 %, D-vit 20 ug","Oivariinii normaalisuolainen 75 %, D-vit 20 ug",D0022,0.70,0.7
Keiju ruskea kastiketiiviste,Keiju ruskea kastiketiiviste,DR003,0.00,0.0
Saarioinen Palvisuikale,Saarioinen Palvisuikale,DR007,1.00,1.0
Bonne Premium persikkasose 100 %,Bonne Premium persikkasose 100 %,DR009,0.00,0.0
Touch of taste Riistafondi,Touch of taste Riistafondi,DR012,0.50,0.5
Bonne Premium omenasose 100 %,Bonne Premium omenasose 100 %,DR014,0.00,0.0
"Knorr Kalaliemi, jauhe, vähäsuolainen","Knorr Kalaliemi, jauhe, vähäsuolainen",DR015,0.25,0.3
Bonne Premium banaanisose 100 %,Bonne Premium banaanisose 100 %,DR017,0.00,0.0
Bonne Premium mangosose 100 %,Bonne Premium mangosose 100 %,DR019,0.00,0.0
"Knorr Citrusmauste, mausteseos","Knorr Citrusmauste, mausteseos",DR025,0.00,0.0
Fazer Moomin metsämansikanmakuinen täytelakritsi,Fazer Moomin metsämansikanmakuinen täytelakritsi,DR030,0.10,0.1
"Luomutäysmaito, rasvaa 3,8-4,4 % , ei lisätty D-vitamiinia, Arla vanha","Luomutäysmaito, rasvaa 3,8-4,4 % , ei lisätty D-vitamiinia, Arla vanha",DR041,1.00,1.0
"TalkMURU, kokojyvämuro","TalkMURU, kokojyvämuro",DR042,0.00,0.0
"Näkkileipä, vähemmän suolaa, kuitua 3,7%, Lapin/Polar","Näkkileipä, vähemmän suolaa, kuitua 3,7%, Lapin/Polar",DR046,0.00,0.0
Atria sika-nauta jauheliha 23 %,Atria sika-nauta jauheliha 23 %,DR047,1.00,1.0
"Chia-siemen, Puhdistamo","Chia-siemen, Puhdistamo",DR048,0.00,0.0
Reissumies Tosi tumma,Reissumies Tosi tumma,DR052,0.00,0.0
Elovena välipalakeksi tumma suklaa,Elovena välipalakeksi tumma suklaa,DR054,0.00,0.0
"Täysjyvävehnätortilla, Rainbow","Täysjyvävehnätortilla, Rainbow",DR055,0.00,0.0
Valio jogurtti 30 % vähemmän lisättyä sokeria,Valio jogurtti 30 % vähemmän lisättyä sokeria,DR056,1.00,1.0
Valio Play jogurtti banaani (2/2016 lähtien),Valio Play jogurtti banaani (2/2016 lähtien),DR062,1.00,1.0
Amona maapähkinävoi sokeroitu,Amona maapähkinävoi sokeroitu,DR063,0.00,0.0
Oltermanni 17 % kermajuusto,Oltermanni 17 % kermajuusto,DR064,1.00,1.0
"Soijakerma, vispaantuva, 25,5%","Soijakerma, vispaantuva, 25,5%",DR065,0.00,0.0
Bonne mansikkasose,Bonne mansikkasose,DR071,0.00,0.0
"Jäätelötuutti, kermajäätelö, suklaakuorrute (Valio Pingviini)","Jäätelötuutti, kermajäätelö, suklaakuorrute (Valio Pingviini)",DR075,0.80,0.8
"Kauramuro, Cheerios","Kauramuro, Cheerios",DR079,0.00,0.0
Bonne Premium mustikkasose,Bonne Premium mustikkasose,DR081,0.00,0.0
Pataya Boneau mehu-kivennäisvesi veriappelsiini,Pataya Boneau mehu-kivennäisvesi veriappelsiini,DR084,0.00,0.0
"Annas Pepparkaka, piparkakku, pipari","Annas Pepparkaka, piparkakku, pipari",DR095,0.00,0.0
"Hapatettu maitovalmiste / rahka, Skyr kuningatar, rasvaa 0,2%","Hapatettu maitovalmiste / rahka, Skyr kuningatar, rasvaa 0,2%",DR098,1.00,1.0
McDonald's Mansikkapirtelö,McDonald's Mansikkapirtelö,DR099,1.00,1.0
Creamy Cooking Original kaurakerma 15 %,Creamy Cooking Original kaurakerma 15 %,DR101,0.00,0.0
"Daim, jäätelötuutti","Daim, jäätelötuutti",DR107,0.50,0.5
"Alpro Go On kasvipohjainen rahka, soija, mustaherukka","Alpro Go On kasvipohjainen rahka, soija, mustaherukka",DR108,0.00,0.0
Mestari perunasoserae,Mestari perunasoserae,DR112,0.00,0.0
"Juustoportti kevytmaito 1,5% rasvaa, ei lisätty d-vitamiinia","Juustoportti kevytmaito 1,5% rasvaa, ei lisätty d-vitamiinia",DR113,1.00,1.0
"HK Ohuen ohut keittokinkku, rasvaa 2,5 %","HK Ohuen ohut keittokinkku, rasvaa 2,5 %",DR117,1.00,1.0
"Härkis Original, kypsä härkäpapuvalmiste","Härkis Original, kypsä härkäpapuvalmiste",DR120,0.00,0.0
Kivikylän Wanhanajan nakki,Kivikylän Wanhanajan nakki,DR121,1.00,1.0
"Oliivi, vihreä, kivetön, säilötty suolaliemeen","Oliivi, vihreä, kivetön, säilötty suolaliemeen",DR122,0.00,0.0
"Ingman Kalinka Mustikkakerrosjogurtti, Into","Ingman Kalinka Mustikkakerrosjogurtti, Into",DR123,1.00,1.0
Valio Play Viilis mansikka laktoositon (9/2016 lähtien),Valio Play Viilis mansikka laktoositon (9/2016 lähtien),DR128,1.00,1.0
"Jogurtti Menu maustamaton, rasvaa 4%, AB","Jogurtti Menu maustamaton, rasvaa 4%, AB",DR129,1.00,1.0
"Annospikapuuro, Elovena Muumi Täysjyväkaura & Neljä Marjaa, hiutaleet","Annospikapuuro, Elovena Muumi Täysjyväkaura & Neljä Marjaa, hiutaleet",DR131,0.00,0.0
"Kaurajuoma maidoton, oat drink, luomu","Kaurajuoma maidoton, oat drink, luomu",DR134,0.00,0.0
"Rainbow Päärynä-vaniljaviili 2 %, ei D-vit","Rainbow Päärynä-vaniljaviili 2 %, ei D-vit",DR137,1.00,1.0
"Aino Ihastuttava minttusuklaa, kermajäätelö","Aino Ihastuttava minttusuklaa, kermajäätelö",DR140,0.50,0.5
"Kalkkunaleike, Atria (3% rasvaa)","Kalkkunaleike, Atria (3% rasvaa)",DR141,1.00,1.0
Bonne Premium Päärynäsose 100%,Bonne Premium Päärynäsose 100%,DR142,0.00,0.0
Flora & Voi normaalisuolainen rasvaseoslevite,Flora & Voi normaalisuolainen rasvaseoslevite,DR143,0.35,0.4
"Valio A+ täyteläinen luonnonjogurtti, 4 % rasvaa, laktoositon","Valio A+ täyteläinen luonnonjogurtti, 4 % rasvaa, laktoositon",DR155,1.00,1.0
"Arla Luonto+ metsämansikka jogurtti, rasvaton, makeut. hedelmämehulla","Arla Luonto+ metsämansikka jogurtti, rasvaton, makeut. hedelmämehulla",DR159,1.00,1.0
"Alpro Pehmeän Täyteläinen Vanilja, soijajogurtti","Alpro Pehmeän Täyteläinen Vanilja, soijajogurtti",DR161,0.00,0.0
Valio Eila kreikkalainen jogurtti sitruuna laktoositon,Valio Eila kreikkalainen jogurtti sitruuna laktoositon,DR165,1.00,1.0
"CoCoVi Raakasuklaa appelsiini, patukka","CoCoVi Raakasuklaa appelsiini, patukka",DR166,0.00,0.0
Valio Hyvä Suomalainen Arki ruokakerma 10 %,Valio Hyvä Suomalainen Arki ruokakerma 10 %,DR167,1.00,1.0
"Planti soijajuoma maustamaton, vitaminoitu","Planti soijajuoma maustamaton, vitaminoitu",DR168,0.00,0.0
Knorr Fond du Chef -kasvisfondi,Knorr Fond du Chef -kasvisfondi,DR173,0.00,0.0
Seitifilee,Seitifilee,f132347,1.00,1.0
Tilli,Tilli,f3198,0.00,0.0
Semper Gluteeniton Kaurahiutale,Semper Gluteeniton Kaurahiutale,i19063,0.00,0.0
Oltermanni rasvaa 29 g,Oltermanni rasvaa 29 g,K15,1.00,1.0
"Creme Bonjour, voi&rypsiöljy merisuola","Creme Bonjour, voi&rypsiöljy merisuola",K25,0.35,0.4
Keiju Rypsi kasvirasvalevite 75%,Keiju Rypsi kasvirasvalevite 75%,K29,0.10,0.1
Elovena Hetki annospikapuuro,Elovena Hetki annospikapuuro,K39,0.00,0.0
Kaurakerma 7%,Kaurakerma 7%,L127,0.00,0.0
"Kaurajuoma,elovena välipalajuoma hedelmäinen","Kaurajuoma,elovena välipalajuoma hedelmäinen",L135,0.00,0.0
Kaura100,Kaura100,L144,0.00,0.0
Yosa kauravälipala (maustettu),Yosa kauravälipala (maustettu),L167,0.00,0.0
Oltermanni rypsi,Oltermanni rypsi,L174,0.50,0.5
"Hapankorppu, Oululainen","Hapankorppu, Oululainen",L183,0.00,0.0
"Kvinoa, siemen","Kvinoa, siemen",L186,0.00,0.0
"Muumikeksi, LU","Muumikeksi, LU",L223,0.00,0.0
"Soijajogurtti, maustamaton","Soijajogurtti, maustamaton",L240,0.00,0.0
Kurpitsansiemen,Kurpitsansiemen,L252,0.00,0.0
Pellavansiemenöljy (tietokannan lähin vastaava),Pellavansiemenöljy (tietokannan lähin vastaava),L256,0.00,0.0
SoijajäätelöPUIKKO,SoijajäätelöPUIKKO,L266,0.00,0.0
D-vitamiini,D-vitamiini,L279,0.00,0.0
C-vitamiini,C-vitamiini,L281,0.00,0.0
"jogurtti, maustettu, a+, rasvaa 3,2%, laktoositon, D-vit 1ug","jogurtti, maustettu, a+, rasvaa 3,2%, laktoositon, D-vit 1ug",L362,1.00,1.0
"Jäätelö, kermajäätelöä ja keksiä, Puffet","Jäätelö, kermajäätelöä ja keksiä, Puffet",L380,0.60,0.6
"Margariini 60% becel laktoositon, D-vit 20ug","Margariini 60% becel laktoositon, D-vit 20ug",L435,0.00,0.0
Psyllium,Psyllium,L635,0.00,0.0
"Ravintohiiva, Engevita","Ravintohiiva, Engevita",MR002,0.00,0.0
"Nyhtökaura nude, Gold&Green","Nyhtökaura nude, Gold&Green",MR003,0.00,0.0
Mustapapu,Mustapapu,MR005,0.00,0.0
Alpro Go On maustamaton,Alpro Go On maustamaton,MR007,0.00,0.0
Jalotofu Kylmäsavu,Jalotofu Kylmäsavu,MR008,0.00,0.0
Semper riisi & vehnä iltavelli,Semper riisi & vehnä iltavelli,MR010,0.00,0.0
"Oluthiiva hiutaleet, (1 rkl = 4 g), Valioravinto","Oluthiiva hiutaleet, (1 rkl = 4 g), Valioravinto",MR011,0.00,0.0
"Sea Crunchy Seaweed Snacks with olive oil, merilevä","Sea Crunchy Seaweed Snacks with olive oil, merilevä",MR012,0.00,0.0
Violife for pizza vegejuustopala,Violife for pizza vegejuustopala,MR013,0.00,0.0
"Oatly pĺMackan, kauravalmiste ruoanlaittoon","Oatly pĺMackan, kauravalmiste ruoanlaittoon",MR015,0.00,0.0
"Planti kaurajuoma maustamaton, vitaminoitu","Planti kaurajuoma maustamaton, vitaminoitu",MR016,0.00,0.0
"Oatly mansikka havregurt, kaurajogurtti","Oatly mansikka havregurt, kaurajogurtti",MR017,0.00,0.0
"Alpro Mantelijuoma makeuttamaton, mantelimaito","Alpro Mantelijuoma makeuttamaton, mantelimaito",MR018,0.00,0.0
"Kikkoman Less Salt soijakastike, 43% vähemmän suolaa","Kikkoman Less Salt soijakastike, 43% vähemmän suolaa",MR021,0.00,0.0
Alpro Mantelijuoma tumma suklaa,Alpro Mantelijuoma tumma suklaa,MR023,0.00,0.0
Alpro Natural makeuttamaton jogurtti,Alpro Natural makeuttamaton jogurtti,MR024,0.00,0.0
"Pauluns kaneli, manteli ja omena granola","Pauluns kaneli, manteli ja omena granola",MR025,0.00,0.0
"Alpro Natural with Almond, manteli-soija jogurtti","Alpro Natural with Almond, manteli-soija jogurtti",MR027,0.00,0.0
"Oatly havregurt naturell, kaurajogurtti","Oatly havregurt naturell, kaurajogurtti",MR030,0.00,0.0
"Soijajuoma omega3, Provamel","Soijajuoma omega3, Provamel",MR033,0.00,0.0
"Riisipiirakka, HoviRuoka, vegaaninen karjalanpiirakka","Riisipiirakka, HoviRuoka, vegaaninen karjalanpiirakka",MR034,0.00,0.0
"Pikkupojan seitannakit, Wheaty","Pikkupojan seitannakit, Wheaty",MR042,0.00,0.0
"Vaniljanaksut, maissi, Laatupaakari","Vaniljanaksut, maissi, Laatupaakari",MR046,0.00,0.0
"Becel Avokado- ja Limeöljylevite, margariini 70%","Becel Avokado- ja Limeöljylevite, margariini 70%",MR047,0.00,0.0
Bon Soya savustettu kasvisleikkele,Bon Soya savustettu kasvisleikkele,MR048,0.00,0.0
Bulgur keittämätön,Bulgur keittämätön,P114,0.00,0.0
Pätkis suklaa,Pätkis suklaa,P194,0.20,0.2
Psyllium,Psyllium,P230,0.00,0.0
"Pulled pork, nyhtöpossu","Pulled pork, nyhtöpossu",P234,1.00,1.0
Elovena Plus annospikapuuro,Elovena Plus annospikapuuro,P260,0.00,0.0
